,meteorite_name,recclass,mass_g,impact_year,retclat,reclong
109,Bielokrynitschie,H4,"1,900",1887,50.13333,27.16667
110,Bilanga,Diogenite,"25,000",1999,12.45,-0.08333
111,Binningup,H5,488.1,1984,-33.15639,115.67639
112,Birni N'konni,H4,560,1923,13.76667,5.3
113,Bishopville,Aubrite,"6,000",1843,34.16667,-80.28333
114,Bishunpur,LL3.15,"1,039",1895,25.38333,82.6
115,Bjelaja Zerkov,H6,"1,850",1796,49.78333,30.16667
116,Bjurböle,L/LL4,"330,000",1899,60.4,25.8
117,Black Moshannan Park,L5,705,1941,40.91667,-78.08333
118,Blackwell,L5,"2,381",1906,36.83333,-97.33333
119,Blanket,L6,"5,100",1909,31.83333,-98.83333
120,Blansko,H6,470,1833,49.36667,16.63333
121,Bloomington,LL6,67.8,1938,40.48,-89.00417
122,Bo Xian,LL3.9,"7,500",1977,33.83333,115.83333
123,Bocas,L6,56,1804,23,-102
124,Bogou,"Iron, IAB-MG","8,800",1962,12.5,0.7
125,Boguslavka,"Iron, IIAB","256,000",1916,44.55,131.63333
126,Borgo San Donino,LL6,"1,676",1808,44.86667,10.05
127,Bori,L6,"8,600",1894,21.95,78.03333
128,Boriskino,CM2,"1,342",1930,54.23333,52.48333
129,Borkut,L5,"7,000",1852,48.15,24.28333
130,Borodino,H5,500,1812,55.46667,35.86667
131,Botschetschki,L4,614,1823,51.33333,33.88333
132,Boumdeid (2003),L6,190,2003,17.71067,-11.3715
133,Boumdeid (2011),L6,"3,599",2011,17.17493,-11.34133
134,Bovedy,L3,"5,460",1969,54.56667,-6.33333
135,Bradford Woods,L,762,1886,40.5,-80.08333
136,Braunau,"Iron, IIAB","39,000",1847,50.6,16.3
137,Breitscheid,H5,"1,500",1956,50.66694,8.18361
138,Bremervörde,H/L3.9,"7,250",1855,53.4,9.1
139,Brient,Eucrite-pmict,219,1933,52.13333,59.31667
140,Bruderheim,L6,"303,000",1960,53.9,-112.88333
141,Bukhara,CV3,"5,300",2001,39.77978,64.60035
142,Bunburra Rockhole,Eucrite,324,2007,-31.35,129.19
143,Bununu,Howardite,357,1942,10.01667,9.58333
144,Bur-Gheluai,H5,"120,000",1919,5,48
145,Burnwell,H4-an,"1,504",1990,37.62194,-82.23722
146,Bursa,L6,"25,000",1946,40.2,29.23333
147,Buschhof,L6,"5,000",1863,46.45,25.78333
148,Bustee,Aubrite,"1,500",1852,26.78333,82.83333
149,Butsura,H6,"29,000",1861,27.08333,84.08333
150,Buzzard Coulee,H4,"41,000",2008,52.996,-109.84817
151,Cabezo de Mayo,L/LL6,"25,000",1870,37.98333,-1.16667
152,Cabin Creek,"Iron, IIIAB","48,500",1886,35.5,-93.5
153,Cacak,OC,212,1919,43.83889,20.33333
154,Cali,H/L4,478,2007,3.405,-76.51
155,Calivo,Stone-uncl,"2,400",1916,11.75,122.33333
156,Campos Sales,L5,"23,680",1991,-7.03333,-40.16667
157,Çanakkale,L6,"4,000",1964,39.8,26.6
158,Cañellas,H4,945,1861,41.25,1.66667
159,Cangas de Onis,H5,"34,000",1866,43.38333,-5.15
160,Canon City,H6,"1,400",1973,38.47028,-105.24139
161,Cape Girardeau,H6,"2,300",1846,37.26667,-89.58333
162,Capilla del Monte,H6,750,1934,-30.88333,-64.55
163,Carancas,H4-5,342,2007,-16.66444,-69.04389
164,Caratash,LL6,8,1902,38.5,27
165,Castalia,H5,"7,300",1874,36.08333,-78.06667
166,Castine,L6,94,1848,44.38333,-68.75
167,Castrovillari,Stone-uncl,"15,000",1583,39.8,16.2
168,Caswell County,OC,"1,360",1810,36.5,-79.25
169,Ceniceros,L3.7,"1,025",1988,26.46667,-105.23333
170,Centerville,H5,45.6,1956,43.2,-96.91667
171,Cereseto,H5,"6,460",1840,45.08333,8.3
172,Chadong,L6,"3,700",1998,28.53333,109.31667
173,Chail,H6,0.5,1814,25.36667,81.66667
174,Chainpur,LL3.4,"8,200",1907,25.85,83.48333
175,Chajari,L5,"18,300",1933,-30.78333,-58.05
176,Chandakapur,L5,"8,800",1838,20.26667,76.01667
177,Chandpur,L6,"1,100",1885,27.28333,79.05
178,Changde,H5,"1,810",1977,29.08333,111.75
179,Chantonnay,L6,"31,500",1812,46.68333,1.05
180,Charlotte,"Iron, IVA","4,300",1835,36.16667,-87.33333
181,Charsonville,H6,"27,000",1810,47.93333,1.56667
182,Charwallas,H6,"12,000",1834,29.48333,75.5
183,Chassigny,Martian (chassignite),"4,000",1815,47.71667,5.36667
184,Château-Renard,L6,"30,000",1841,47.93333,2.91667
185,Chaves,Howardite,"2,945",1925,41.93333,-7.46667
186,Chela,H4,"2,936",1988,-3.66667,32.5
187,Chelyabinsk,LL5,"100,000",2013,54.81667,61.11667
188,Chergach ,H5,"100,000",2007,23.69639,-5.01472
189,Chernyi Bor,H4,"6,000",1964,53.7,30.1
190,Cherokee Springs,LL6,"8,400",1933,35.03333,-81.88333
191,Chervettaz,L5,705,1901,46.55,6.81667
192,Chervony Kut,Eucrite-mmict,"1,700",1939,50.83333,34
193,Chetrinahatti,Stone-uncl,72,1880,14.5,76.5
194,Chiang Khan,H6,367,1981,17.9,101.63333
195,Chicora,LL6,303,1938,40.93333,-79.73333
196,Chisenga,"Iron, IIIAB","3,920",1988,-10.05944,33.395
197,Chitenay,L6,"4,000",1978,47.47083,0.97667
198,Cilimus,L5,"1,600",1979,-6.95,108.1
199,Claxton,L6,"1,455",1984,32.1025,-81.87278
200,Colby (Wisconsin),L6,"104,000",1917,44.9,-90.28333
201,Cold Bokkeveld,CM2,"5,200",1838,-33.13333,19.38333
202,Coleman,L6,469,1994,43.76111,-84.50778
203,Collescipoli,H5,"5,000",1890,42.53333,12.61667
204,Conquista,H4,"20,350",1965,-19.85,-47.55
205,Cosina,H5,"1,200",1844,21.16667,-100.86667
206,Cranganore,L6,"1,460",1917,10.2,76.26667
207,Crescent,CM2,78.4,1936,35.95,-97.58333
208,Cronstad,H5,"3,650",1877,-27.7,27.3
209,Cross Roads,H5,167,1892,35.63333,-78.13333
210,Crumlin,L5,"4,255",1902,54.61667,-6.21667
211,Cumberland Falls,Aubrite,"17,000",1919,36.83333,-84.35
212,Cynthiana,L/LL4,"6,000",1877,38.4,-84.25
213,Dahmani,LL6,"18,000",1981,35.61667,8.83333
214,Dandapur,L6,"5,650",1878,26.91667,83.96667
215,Daniel's Kuil,EL6,"1,064",1868,-28.2,24.56667
216,Danville,L6,"2,000",1868,34.4,-87.06667
217,Darmstadt,H5,100,1804,49.86667,8.65
218,Dashoguz,H5,"7,000",1998,41.98444,59.685
219,Daule,L5,"6,580",2008,-1.87089,-79.95756
220,De Cewsville,H6,340,1887,43,-80
221,Deal,L6,28,1829,40.25,-74
222,Delhi,L5,0.8,1897,28.56667,77.25
223,Demina,L6,"16,400",1911,51.46667,84.76667
224,Denver,L6,230,1967,39.7825,-104.93056
225,Dergaon,H5,"12,500",2001,26.68333,93.86667
226,Desuri,H6,"25,400",1962,25.73333,73.61667
227,Devgaon,H3.8,"12,000",2001,19,81
228,Devri-Khera,L6,"1,140",1994,24.225,76.525
229,Dhajala,H3.8,"45,000",1976,22.37778,71.42722
230,Dharwar,OC,"1,800",1848,14.88333,75.6
231,Dhurmsala,LL6,"32,000",1860,32.23333,76.46667
232,Didim,H3-5,"3,396",2007,37.35172,27.32997
233,Diep River,L6,"1,000",1906,-33.75,18.56667
234,Distrito Quebracho,H4,400,1957,-31.88333,-60.46667
235,Djati-Pengilon,H6,"166,000",1884,-7.5,111.5
236,Djermaia,H,"3,950",1961,12.73333,15.05
237,Djoumine,H5-6,"10,000",1999,36.95,9.55
238,Dokachi,H5,"3,840",1903,23.5,90.33333
239,Dolgovoli,L6,"1,600",1864,50.75,25.3
240,Domanitch,L5,438,1907,40,29
241,Dong Ujimqin Qi,Mesosiderite,"128,800",1995,45.5,119.03333
242,Donga Kohrod,H6,230,1899,21.86667,82.45
243,Dongtai,LL6,"5,500",1970,32.91667,120.78333
244,Doroninsk,H5-7,"3,891",1805,51.2,112.3
245,Dosso,L6,"1,250",1962,13.05,3.16667
246,Douar Mghila,LL6,"1,161",1932,32.33333,-6.3
247,Dowa,Stone-uncl,642,1976,-13.66667,33.91667
248,Drake Creek,L6,"5,000",1827,36.4,-86.5
249,Dresden (Ontario),H6,"47,700",1939,42.52,-82.26
250,Dubrovnik,L3-6,"1,900",1951,42.45833,18.44167
251,Dunbogan,L6,30,1999,-31.66667,152.83333
252,Dundrum,H5,"2,270",1865,52.55,-8.03333
253,Durala,L6,"13,200",1815,30.3,76.63333
254,Duruma,L6,577,1853,-4,39.5
255,Duwun,L6,"2,117",1943,33.43333,127.26667
