,meteorite_name,recclass,mass_g,impact_year,retclat,reclong
1842,Allan Hills 84100,H5,110.3,1984,-76.74282,158.83369
1843,Allan Hills 84101,H6,220.9,1984,-76.71667,159.66667
1844,Allan Hills 84102,L6,213.9,1984,-76.91024,156.79453
1845,Allan Hills 84103,H4,137.5,1984,-76.75705,158.76999
1846,Allan Hills 84104,L6,201.1,1984,-77.01648,156.97919
1847,Allan Hills 84105,H6,260.9,1984,-76.75498,158.76252
1848,Allan Hills 84106,L6,94.7,1984,-76.88744,156.93344
1849,Allan Hills 84107,LL6,134.1,1984,-77.04441,157.14714
1850,Allan Hills 84108,H6,214.8,1984,-76.90198,156.76583
1851,Allan Hills 84109,H6,245.9,1984,-76.75371,158.76659
1852,Allan Hills 84110,H6,318.5,1984,-76.75568,158.76154
1853,Allan Hills 84111,H5,131.5,1984,-76.74202,159.28689
1854,Allan Hills 84112,L6,145.8,1984,-76.90657,156.81312
1855,Allan Hills 84113,H6,212.1,1984,-76.74688,158.8072
1856,Allan Hills 84114,H6,119.9,1984,-76.9768,156.91717
1857,Allan Hills 84115,H6,194.5,1984,-77.04366,157.09028
1858,Allan Hills 84116,LL6,56.2,1984,-76.82442,158.38274
1859,Allan Hills 84117,H5,71.8,1984,-76.9095,156.69457
1860,Allan Hills 84118,H6,113.7,1984,-76.72107,159.35988
1861,Allan Hills 84119,LL6,33.8,1984,-76.90169,156.78514
1862,Allan Hills 84120,L3.8,129,1984,-76.90505,156.94032
1863,Allan Hills 84121,H5,141.4,1984,-76.72513,158.7146
1864,Allan Hills 84122,LL6,81.4,1984,-76.67555,159.30823
1865,Allan Hills 84123,LL6,96.6,1984,-76.74281,158.83348
1866,Allan Hills 84124,H5,114.5,1984,-76.72475,158.7157
1867,Allan Hills 84125,LL6,76.4,1984,-76.73658,158.8256
1868,Allan Hills 84126,LL3.4,41.2,1984,-76.89442,156.85552
1869,Allan Hills 84127,L6,83.8,1984,-76.70706,158.73423
1870,Allan Hills 84128,H5,2.1,1984,-76.71094,158.74709
1871,Allan Hills 84129,L6,37.6,1984,-76.91616,156.82442
1872,Allan Hills 84130,L6,45.1,1984,-76.71597,159.36685
1873,Allan Hills 84131,H5,107.9,1984,-76.72553,158.71352
1874,Allan Hills 84132,L6,157.8,1984,-77.01706,156.96282
1875,Allan Hills 84133,H5,70.5,1984,-76.90232,156.83867
1876,Allan Hills 84134,L6,113.4,1984,-76.90037,156.77608
1877,Allan Hills 84135,H5,31.3,1984,-76.97272,156.90759
1878,Allan Hills 84136,Ureilite,83.5,1984,-77.03962,157.14771
1879,Allan Hills 84137,H5,145.4,1984,-76.72618,158.71187
1880,Allan Hills 84138,H5,20.2,1984,-76.71035,158.78026
1881,Allan Hills 84139,H5,157.1,1984,-76.7528,158.76289
1882,Allan Hills 84140,L6,164,1984,-77.0238,156.99656
1883,Allan Hills 84141,L6,130.3,1984,-76.90681,156.84795
1884,Allan Hills 84142,L6,78.5,1984,-77.01141,156.94615
1885,Allan Hills 84143,L6,74.3,1984,-76.75194,158.80602
1886,Allan Hills 84144,H5,53.9,1984,-76.96327,156.92228
1887,Allan Hills 84145,H5,19.2,1984,-76.95195,156.91759
1888,Allan Hills 84146,H5,33.2,1984,-76.70911,158.73826
1889,Allan Hills 84147,H6,54.2,1984,-76.91719,156.88659
1890,Allan Hills 84148,H5,168.4,1984,-76.72522,158.71588
1891,Allan Hills 84149,H5,12,1984,-76.71033,158.78075
1892,Allan Hills 84150,H6,20,1984,-77.02435,156.97828
1893,Allan Hills 84151,H6,112.4,1984,-76.75323,158.76609
1894,Allan Hills 84152,H5,6.4,1984,-76.98859,156.96088
1895,Allan Hills 84153,H6,242.9,1984,-76.97272,156.90759
1896,Allan Hills 84154,LL6,87.6,1984,-76.90682,156.71998
1897,Allan Hills 84155,H5,113.9,1984,-76.90557,156.85267
1898,Allan Hills 84156,H5,27.8,1984,-76.68787,159.35846
1899,Allan Hills 84157,H5,88.6,1984,-76.87213,156.98764
1900,Allan Hills 84158,H5,53.7,1984,-76.89695,156.9656
1901,Allan Hills 84159,H6,100.8,1984,-76.72351,158.70345
1902,Allan Hills 84160,L6,53.9,1984,-76.92288,156.81638
1903,Allan Hills 84161,H5,82.9,1984,-76.71086,158.72872
1904,Allan Hills 84162,H5,42.3,1984,-76.71427,158.77844
1905,Allan Hills 84163,H5,134.9,1984,-76.89216,157.07175
1906,Allan Hills 84164,L6,101.4,1984,-76.82065,158.25808
1907,Allan Hills 84165,"Iron, IIIAB",94.7,1984,-76.72679,159.15597
1908,Allan Hills 84166,L6,39,1984,-76.70446,159.38647
1909,Allan Hills 84167,H5,150.7,1984,-76.69004,159.35472
1910,Allan Hills 84168,LL6,14.2,1984,-76.71881,158.65853
1911,Allan Hills 84169,L6,98.4,1984,-76.7478,158.84629
1912,Allan Hills 84170,EH3,39.2,1984,-76.75606,158.78074
1913,Allan Hills 84171,H6,36.6,1984,-76.98612,156.87504
1914,Allan Hills 84172,H5,3,1984,-76.75732,158.9042
1915,Allan Hills 84173,L6,1.7,1984,-76.82169,158.21104
1916,Allan Hills 84174,L6,32.2,1984,-76.7285,159.26298
1917,Allan Hills 84175,H5,35.4,1984,-76.95201,156.93536
1918,Allan Hills 84176,H6,4.6,1984,-76.69029,159.38336
1919,Allan Hills 84177,L5,7.3,1984,-76.71105,158.74719
1920,Allan Hills 84178,H5,0.4,1984,-76.80065,158.12891
1921,Allan Hills 84179,H5,46.5,1984,-77.05109,157.06566
1922,Allan Hills 84180,H6,47.4,1984,-76.69406,159.35644
1923,Allan Hills 84181,L6,32.9,1984,-76.75729,158.90418
1924,Allan Hills 84182,L6,14.2,1984,-76.99829,156.93829
1925,Allan Hills 84183,H5,27.8,1984,-76.68431,159.3422
1926,Allan Hills 84184,H5,42.1,1984,-76.74662,158.85187
1927,Allan Hills 84185,H5,4.8,1984,-76.82192,158.24979
1928,Allan Hills 84186,H6,19.6,1984,-76.65807,159.32555
1929,Allan Hills 84187,H6,25.9,1984,-76.71976,158.68913
1930,Allan Hills 84188,EH3,3.1,1984,-76.75272,158.76745
1931,Allan Hills 84189,H6,8.7,1984,-76.71444,158.70131
1932,Allan Hills 84190,Acapulcoite,7.9,1984,-76.68361,159.33783
1933,Allan Hills 84191,CM2,14,1984,-76.82219,158.32775
1934,Allan Hills 84192,H5,4.2,1984,-76.68029,159.34296
1935,Allan Hills 84193,L6,9.4,1984,-76.90674,156.82425
1936,Allan Hills 84194,H5,3.9,1984,-76.72364,159.41487
1937,Allan Hills 84195,L4,2.1,1984,-76.69848,159.39858
1938,Allan Hills 84196,H5,10.2,1984,-76.67941,159.34173
1939,Allan Hills 84197,L6,8.2,1984,-76.75722,158.90399
1940,Allan Hills 84198,LL6,5.4,1984,-76.80287,158.16296
1941,Allan Hills 84199,H5,27.1,1984,-76.95666,156.90066
1942,Allan Hills 84200,EH3,8.5,1984,-76.75725,158.78341
1943,Allan Hills 84201,H5,6.3,1984,-76.7574,158.90775
1944,Allan Hills 84202,H5,87.5,1984,-76.71905,158.76475
1945,Allan Hills 84203,L6,8.8,1984,-76.81428,158.14376
1946,Allan Hills 84204,H6,24.4,1984,-76.89116,156.89215
1947,Allan Hills 84205,L3.9,25.2,1984,-76.89031,156.99504
1948,Allan Hills 84206,EH3,15.1,1984,-76.75149,158.76535
1949,Allan Hills 84207,L6,4.5,1984,-76.95208,156.93724
1950,Allan Hills 84208,H6,20.9,1984,-76.96206,156.93099
1951,Allan Hills 84209,L5,5.5,1984,-76.69843,159.39841
1952,Allan Hills 84210,L6,8.8,1984,-76.77051,158.81479
1953,Allan Hills 84211,H6,49.2,1984,-76.90272,156.85108
1954,Allan Hills 84212,L6,7.1,1984,-76.76216,158.79286
1955,Allan Hills 84213,H5,6.7,1984,-76.67544,159.30823
1956,Allan Hills 84214,H6,4.9,1984,-76.88141,158.58062
1957,Allan Hills 84215,H6,9.2,1984,-76.67946,159.34206
1958,Allan Hills 84216,H5,5.5,1984,-76.8209,158.25076
1959,Allan Hills 84217,H5,2.7,1984,-77.0203,156.91357
1960,Allan Hills 84218,L6,33,1984,-77.01978,156.91549
1961,Allan Hills 84219,L6,9.8,1984,-77.00107,156.91147
1962,Allan Hills 84220,EH3,8.4,1984,-76.75646,158.91429
1963,Allan Hills 84221,H5,16.4,1984,-76.88861,157.03
1964,Allan Hills 84222,H5,9.9,1984,-76.67395,159.32548
1965,Allan Hills 84223,H5,10.6,1984,-77.02619,156.91944
1966,Allan Hills 84224,H6,7.2,1984,-76.69405,159.38838
1967,Allan Hills 84225,H5,8.7,1984,-76.65827,159.32682
1968,Allan Hills 84226,H5,27.6,1984,-76.67709,159.30462
1969,Allan Hills 84227,H5,12.1,1984,-76.71175,158.78789
1970,Allan Hills 84228,H5,9.8,1984,-76.6836,159.34932
1971,Allan Hills 84229,L6,6.9,1984,-76.73228,158.81663
1972,Allan Hills 84230,H4,2.4,1984,-76.75647,158.91425
1973,Allan Hills 84231,L6,42.6,1984,-76.9028,156.95373
1974,Allan Hills 84232,H4,9.9,1984,-76.71074,158.74629
1975,Allan Hills 84233,"Iron, ungrouped",13.6,1984,-76.7119,158.72942
1976,Allan Hills 84234,L6,3.9,1984,-76.95262,156.9376
1977,Allan Hills 84235,EH3,6,1984,-76.75174,158.76483
1978,Allan Hills 84236,H5,32.3,1984,-76.70984,159.3266
1979,Allan Hills 84237,H5,7.5,1984,-76.69863,159.39845
1980,Allan Hills 84238,L6,1.9,1984,-76.80207,158.15703
1981,Allan Hills 84239,H5,14.7,1984,-76.68787,159.35847
1982,Allan Hills 84240,H5,25.9,1984,-76.76681,158.7999
1983,Allan Hills 84241,H5,16.7,1984,-76.97482,156.92322
1984,Allan Hills 84242,H6,16.9,1984,-76.80333,158.16446
1985,Allan Hills 84243,H6,48.9,1984,-76.71667,159.66667
1986,Allan Hills 84244,L6,33.5,1984,-76.90362,157.00926
1987,Allan Hills 84245,H5,18.9,1984,-76.96351,156.93272
1988,Allan Hills 84246,H5,1.8,1984,-76.86689,158.52155
1989,Allan Hills 84247,L6,49.6,1984,-76.90913,156.99222
1990,Allan Hills 84248,H5,4.9,1984,-76.69255,159.39066
1991,Allan Hills 84249,H5,23.4,1984,-76.98428,156.87774
1992,Allan Hills 84250,EH3,10,1984,-76.75691,158.91155
1993,Allan Hills 84251,H5,34.3,1984,-76.95501,156.93549
1994,Allan Hills 84252,H6,3.1,1984,-76.89871,156.79221
1995,Allan Hills 84253,H5,7.1,1984,-76.96688,156.92161
1996,Allan Hills 84254,EH3,2,1984,-76.99141,156.97536
1997,Allan Hills 84255,LL6,11.3,1984,-76.9522,156.93703
1998,Allan Hills 84256,L6,3,1984,-76.7065,158.7323
1999,Allan Hills 84257,H6,18.8,1984,-76.96217,156.93101
2000,Allan Hills 84258,L5,2.6,1984,-76.9061,156.8297
2001,Allan Hills 84259,H5,23.1,1984,-76.7137,158.78281
2002,Allan Hills 84260,H5,14.6,1984,-76.73253,159.18976
2003,Allan Hills 84261,L6,5.1,1984,-76.90584,156.83258
2004,Allan Hills 84262,H6,15.3,1984,-76.72034,158.68736
2005,Allan Hills 84263,H5,4.6,1984,-76.75813,158.92426
2006,Allan Hills 84264,L6,137.6,1984,-77.05037,157.19686
2007,Allan Hills 85001,Eucrite-Mg rich,212.3,1985,-76.8389,156.45213
2008,Allan Hills 85002,CK4,437.7,1985,-76.91661,156.53194
2009,Allan Hills 85003,CO3.5,50.1,1985,-76.90286,156.86987
2010,Allan Hills 85004,CM2,8.4,1985,-77.035,157.18083
2011,Allan Hills 85005,CM2,18.9,1985,-76.9776,156.9358
2012,Allan Hills 85006,CV3,49,1985,-76.85224,156.31748
2013,Allan Hills 85007,CM2,82,1985,-76.90541,156.88223
2014,Allan Hills 85008,CM2,32.1,1985,-76.83662,156.14151
2015,Allan Hills 85009,CM2,46.6,1985,-76.83697,156.14036
2016,Allan Hills 85010,CM2,3.2,1985,-76.83631,156.14247
2017,Allan Hills 85011,CM2,10.7,1985,-76.82728,156.16645
2018,Allan Hills 85012,CM2,3.9,1985,-77.035,157.18333
2019,Allan Hills 85013,CM2,130.4,1985,-76.89057,156.46268
2020,Allan Hills 85014,L6,75,1985,-76.91791,156.70947
2021,Allan Hills 85015,Diogenite,3.2,1985,-76.90892,156.52294
2022,Allan Hills 85016,L6,"1,412",1985,-76.99984,156.95922
2023,Allan Hills 85017,L6,"2,361.40",1985,-76.9033,156.75663
2024,Allan Hills 85018,H6,811.8,1985,-76.88268,156.49194
2025,Allan Hills 85019,LL6,632.8,1985,-76.91508,156.53178
2026,Allan Hills 85020,H6,744.3,1985,-76.90701,156.78603
2027,Allan Hills 85021,H5,646.8,1985,-76.85498,156.46606
2028,Allan Hills 85022,L6,951.5,1985,-76.84391,156.36709
2029,Allan Hills 85023,H6,438.5,1985,-76.83755,156.41507
2030,Allan Hills 85024,H5,387.7,1985,-76.84525,156.43343
2031,Allan Hills 85025,H5,713,1985,-76.85539,156.47991
2032,Allan Hills 85026,L6,817.1,1985,-76.85858,156.26751
2033,Allan Hills 85027,L6,370.4,1985,-76.91433,156.63032
2034,Allan Hills 85028,H6,325.7,1985,-76.84829,156.43594
2035,Allan Hills 85029,L6,388.8,1985,-76.83961,156.40872
2036,Allan Hills 85030,H6,619.7,1985,-76.88918,156.51355
2037,Allan Hills 85031,H6,200.6,1985,-76.89914,156.5252
2038,Allan Hills 85032,H6,424.2,1985,-76.86321,156.43632
2039,Allan Hills 85033,L4,249.8,1985,-76.86198,156.43418
2040,Allan Hills 85034,L6,343.9,1985,-76.92308,156.58744
2041,Allan Hills 85035,LL6,420.1,1985,-76.73732,159.39194
2042,Allan Hills 85036,H6,231.5,1985,-76.83831,156.33386
2043,Allan Hills 85037,H6,141.2,1985,-76.75225,159.38956
2044,Allan Hills 85038,H5,124.9,1985,-76.82632,156.13873
2045,Allan Hills 85039,L6,140.2,1985,-76.90414,156.68119
2046,Allan Hills 85040,L6,95.7,1985,-76.81776,156.03075
2047,Allan Hills 85041,H6,168,1985,-76.70547,159.38484
2048,Allan Hills 85042,H5,127.9,1985,-76.90211,156.8671
2049,Allan Hills 85043,H5,204.7,1985,-76.91425,156.5072
2050,Allan Hills 85044,H6,104.8,1985,-76.70541,159.38493
2051,Allan Hills 85045,L3.8,145,1985,-76.85985,156.43234
2052,Allan Hills 85046,L6,148.9,1985,-76.90369,156.87059
2053,Allan Hills 85047,L6,4.2,1985,-76.86304,156.51124
2054,Allan Hills 85048,H5,16.9,1985,-76.75243,159.38912
2055,Allan Hills 85049,L6,4.8,1985,-76.87975,156.49207
2056,Allan Hills 85050,L6,0.9,1985,-76.87869,156.49742
2057,Allan Hills 85051,H5,4.9,1985,-76.83928,156.46772
2058,Allan Hills 85052,H6,17.4,1985,-76.82352,156.13328
2059,Allan Hills 85053,L4,0.5,1985,-76.90146,156.70958
2060,Allan Hills 85054,H5,55.3,1985,-76.84514,156.45805
2061,Allan Hills 85055,H5,5.8,1985,-76.90372,156.75302
2062,Allan Hills 85056,H5,7.5,1985,-76.84703,156.32009
2063,Allan Hills 85057,LL6,0.8,1985,-76.8422,156.44009
2064,Allan Hills 85058,L4,0.3,1985,-76.91077,156.6584
2065,Allan Hills 85059,LL6,8.8,1985,-76.90145,156.68738
2066,Allan Hills 85060,L6,0.5,1985,-76.84005,156.22913
2067,Allan Hills 85061,L6,2,1985,-76.84217,156.39145
2068,Allan Hills 85062,H3.5-4,167.3,1985,-76.84511,156.20617
2069,Allan Hills 85063,L6,12.7,1985,-76.86188,156.50066
2070,Allan Hills 85064,L6,3.7,1985,-76.84218,156.39302
2071,Allan Hills 85065,L6,9.7,1985,-76.83619,156.44564
2072,Allan Hills 85066,LL6,8,1985,-76.91131,156.5405
2073,Allan Hills 85067,H5,1.3,1985,-76.67948,159.34227
2074,Allan Hills 85068,H5,3.6,1985,-76.68239,159.3454
2075,Allan Hills 85069,H6,4.6,1985,-76.8404,156.42909
2076,Allan Hills 85070,L3.6,12.9,1985,-76.83832,156.33708
2077,Allan Hills 85071,H5,18.7,1985,-76.9025,156.72098
2078,Allan Hills 85072,H6,4.3,1985,-76.89064,156.53174
2079,Allan Hills 85073,LL6,15.6,1985,-76.91335,156.66997
2080,Allan Hills 85074,H5,3.3,1985,-76.90183,156.70375
2081,Allan Hills 85075,L6,36.4,1985,-76.90442,156.69078
2082,Allan Hills 85076,L6,78.3,1985,-76.68699,159.34667
2083,Allan Hills 85077,H5,12,1985,-76.84301,156.48181
2084,Allan Hills 85078,L6,1.2,1985,-76.91079,156.53846
2085,Allan Hills 85079,LL6,83.1,1985,-76.91622,156.55717
2086,Allan Hills 85080,L6,54.2,1985,-76.89823,156.48377
2087,Allan Hills 85081,H6,12.2,1985,-76.92089,156.62782
2088,Allan Hills 85082,L6,19.4,1985,-76.90259,156.68577
2089,Allan Hills 85083,L6,92.9,1985,-76.90317,156.67366
2090,Allan Hills 85084,LL6,18.4,1985,-76.82813,156.11587
2091,Allan Hills 85085,CH3,11.9,1985,-76.84838,156.42015
2092,Allan Hills 85086,H5,12.2,1985,-76.85056,156.31035
2093,Allan Hills 85087,L6,11.3,1985,-76.90266,156.72064
2094,Allan Hills 85088,H5,0.4,1985,-76.68045,159.34413
2095,Allan Hills 85089,H5,1.5,1985,-76.91511,156.64643
2096,Allan Hills 85090,L6,10.5,1985,-76.8994,156.81605
2097,Allan Hills 85091,H5,31.1,1985,-76.85437,156.22563
2098,Allan Hills 85092,L5,25.6,1985,-76.85415,156.43673
2099,Allan Hills 85093,L6,11.5,1985,-76.91071,156.53156
2100,Allan Hills 85094,H6,8.7,1985,-76.69828,159.3885
2101,Allan Hills 85095,L6,32.5,1985,-76.84001,156.18101
2102,Allan Hills 85096,L6,3.1,1985,-76.84357,156.24042
2103,Allan Hills 85097,H5,61.4,1985,-76.91725,156.51686
2104,Allan Hills 85098,H5,6.8,1985,-76.85055,156.2912
2105,Allan Hills 85099,H5,7.1,1985,-76.83955,156.19667
2106,Allan Hills 85100,H5,57.7,1985,-76.8527,156.20849
2107,Allan Hills 85101,L6,8.1,1985,-76.86028,156.43726
2108,Allan Hills 85102,H5,12.6,1985,-76.84062,156.3701
2109,Allan Hills 85103,L6,86.9,1985,-76.91572,156.67262
2110,Allan Hills 85104,H5,98.9,1985,-76.84577,156.43552
2111,Allan Hills 85105,L6,12.4,1985,-76.92345,156.54071
2112,Allan Hills 85106,CM2,2.7,1985,-76.91052,156.53479
2113,Allan Hills 85107,H5,36.6,1985,-76.90675,156.66508
2114,Allan Hills 85108,H6,14.6,1985,-76.8502,156.3107
2115,Allan Hills 85109,H6,20.7,1985,-76.70592,159.39232
2116,Allan Hills 85110,H5,22.2,1985,-76.71667,159.66667
2117,Allan Hills 85111,H5,12.9,1985,-76.90198,156.67686
2118,Allan Hills 85112,L6,23,1985,-76.85329,156.30473
2119,Allan Hills 85113,L6,39.9,1985,-76.91857,156.58304
2120,Allan Hills 85114,H5,11.4,1985,-76.83682,156.45274
2121,Allan Hills 85115,L6,21.9,1985,-76.90892,156.52294
2122,Allan Hills 85117,H6,27.8,1985,-76.90129,156.71473
2123,Allan Hills 85118,L5,48,1985,-76.71561,159.37424
2124,Allan Hills 85119,EL3,20.6,1985,-76.83338,156.17453
2125,Allan Hills 85120,H5,8.2,1985,-76.84749,156.32356
2126,Allan Hills 85121,H3.7,55.3,1985,-76.84468,156.42927
2127,Allan Hills 85122,H5,61.2,1985,-76.71667,159.66667
2128,Allan Hills 85123,L5,15.3,1985,-76.75241,159.38914
2129,Allan Hills 85124,L6,63.5,1985,-76.91188,156.65122
2130,Allan Hills 85125,H5,18.8,1985,-76.88684,156.52579
2131,Allan Hills 85126,H5,46.5,1985,-76.86039,156.50627
2132,Allan Hills 85127,H6,10,1985,-76.9892,156.93936
2133,Allan Hills 85128,H6,16.1,1985,-76.84996,156.31083
2134,Allan Hills 85129,LL6,127.4,1985,-76.90519,156.75363
2135,Allan Hills 85130,H6,99.7,1985,-76.82138,156.03642
2136,Allan Hills 85131,L6,34.2,1985,-76.85114,156.29878
2137,Allan Hills 85132,L6,49.3,1985,-76.85107,156.29756
2138,Allan Hills 85133,H5,90.6,1985,-77.04626,157.09876
2139,Allan Hills 85134,H5,10.4,1985,-76.90304,156.70502
2140,Allan Hills 85135,LL6,11.6,1985,-76.84277,156.40228
2141,Allan Hills 85136,H6,75.3,1985,-76.85471,156.47724
2142,Allan Hills 85137,LL6,6.7,1985,-76.83509,156.36197
2143,Allan Hills 85138,LL6,18,1985,-76.83523,156.44748
2144,Allan Hills 85139,H6,26,1985,-76.90705,156.66818
2145,Allan Hills 85140,H6,9.1,1985,-76.90833,156.96202
2146,Allan Hills 85141,H5,10.6,1985,-76.83541,156.44315
2147,Allan Hills 85142,H5,50.8,1985,-76.83635,156.34682
2148,Allan Hills 85143,H5,17.9,1985,-76.84689,156.32119
2149,Allan Hills 85144,H5,18.3,1985,-76.69837,159.38364
2150,Allan Hills 85145,H5,45.6,1985,-76.91533,156.98908
2151,Allan Hills 85146,H5,39.7,1985,-76.83877,156.16673
2152,Allan Hills 85147,L6,3,1985,-76.90149,156.70939
2153,Allan Hills 85148,H6,3.6,1985,-76.89556,156.47672
2154,Allan Hills 85149,L6,16.9,1985,-76.83519,156.37561
2155,Allan Hills 85150,L5,13,1985,-76.91421,156.53947
2156,Allan Hills 85151,R3.6,13.9,1985,-76.71667,159.66667
2157,Allan Hills 85152,LL6,36.4,1985,-76.84284,156.47912
2158,Allan Hills 85153,H4,0.4,1985,-76.67951,159.34254
2159,Allan Hills 85154,LL6,4.9,1985,-76.8302,156.07011
2160,Allan Hills 85155,L3.7,18.5,1985,-76.84811,156.43685
2161,Allan Hills 85156,H6,32,1985,-76.83646,156.45113
2162,Allan Hills 85157,L6,20.1,1985,-76.89897,156.49871
2163,Allan Hills 85158,LL6,2.9,1985,-76.87787,156.49901
2164,Allan Hills 85159,EH3,11,1985,-76.856,156.32705
2165,Allan Hills 86600,L6,411.1,1986,-76.69517,159.36667
2166,Allan Hills 86601,H5,309,1986,-76.71667,159.66667
2167,Allan Hills 86602,L6,264.5,1986,-76.72584,159.40905
2168,Allan Hills 86603,H5,104.5,1986,-76.72947,159.41326
2169,Allan Hills 86604,L6,12.8,1986,-76.70619,159.3658
2170,Allan Hills 86605,L6,12.3,1986,-76.70806,159.30975
2171,Allan Hills 86606,H5,4.5,1986,-76.70562,159.39189
2172,Allan Hills 86607,H6,2.9,1986,-76.73104,159.41678
2173,Allan Hills 86608,L6,9.8,1986,-76.73058,159.41622
2174,Allan Hills 86609,L6,7.8,1986,-76.73102,159.41686
2175,Allan Hills 86610,L5,0.8,1986,-76.73103,159.41682
2176,Allan Hills 86611,H5,9.3,1986,-76.72907,159.41208
2177,Allan Hills 86612,H5,1.5,1986,-76.72951,159.41482
2178,Allan Hills 87900,L6,"8,000",1987,-76.75009,159.34471
2179,Allan Hills 87901,H6,21.5,1987,-76.70624,159.3175
2180,Allan Hills 87902,L6,77.3,1987,-76.76492,159.43019
2181,Allan Hills 87903,L4,32.2,1987,-76.73942,159.38213
2182,Allan Hills 87904,L4,27.2,1987,-76.70388,159.35405
2183,Allan Hills 87905,L6,28.3,1987,-76.74904,159.2888
2184,Allan Hills 87906,LL6,51.6,1987,-76.71667,159.66667
2185,Allan Hills 88001,H5,415,1988,-76.69222,159.29576
2186,Allan Hills 88002,L4,358.4,1988,-76.72211,158.69336
2187,Allan Hills 88003,L4,341,1988,-76.70741,159.32372
2188,Allan Hills 88004,LL4,315.7,1988,-76.72991,158.75414
2189,Allan Hills 88005,L6,282,1988,-76.71667,159.66667
2190,Allan Hills 88006,L4,233,1988,-76.73304,158.75694
2191,Allan Hills 88007,H5,156,1988,-76.72606,158.77571
2192,Allan Hills 88008,H4/5,153.5,1988,-76.69325,159.34809
2193,Allan Hills 88009,H5,152,1988,-76.69227,159.32884
2194,Allan Hills 88010,H4/5,141.5,1988,-76.72213,158.71676
2195,Allan Hills 88011,H3,103,1988,-76.72395,158.74208
2196,Allan Hills 88012,L6,102.5,1988,-76.72243,158.7182
2197,Allan Hills 88013,H4,89.3,1988,-76.69166,159.31404
2198,Allan Hills 88014,H5,84.1,1988,-76.73142,158.72211
2199,Allan Hills 88015,L6,83.7,1988,-76.68229,159.33794
2200,Allan Hills 88016,H4,73.7,1988,-76.69239,159.33052
2201,Allan Hills 88017,H4,70.4,1988,-76.68388,159.26182
2202,Allan Hills 88018,H5,67.1,1988,-76.69307,159.29598
2203,Allan Hills 88019,H5,57.4,1988,-76.72723,159.40941
2204,Allan Hills 88020,H3.5,53.7,1988,-76.68984,159.35622
2205,Allan Hills 88021,H5,51,1988,-76.71493,159.36729
2206,Allan Hills 88022,H5,47.2,1988,-76.72729,159.37476
2207,Allan Hills 88023,L6,44,1988,-76.68052,159.32914
2208,Allan Hills 88024,L6,37.9,1988,-76.68225,159.31149
2209,Allan Hills 88025,H5,37.2,1988,-76.7264,158.76884
2210,Allan Hills 88026,H5,37.1,1988,-76.69101,159.32006
2211,Allan Hills 88027,H5,31.6,1988,-76.69948,159.30986
2212,Allan Hills 88028,H5,29.9,1988,-76.69152,159.31626
2213,Allan Hills 88029,H5,29.1,1988,-76.69222,159.29576
2214,Allan Hills 88030,H5,28.5,1988,-76.69222,159.29576
2215,Allan Hills 88031,H5,27.8,1988,-76.72653,159.37696
2216,Allan Hills 88032,H5,27.4,1988,-76.72683,158.71811
2217,Allan Hills 88033,H5,27.3,1988,-76.69395,159.29327
2218,Allan Hills 88034,H6,26.7,1988,-76.72018,159.4026
2219,Allan Hills 88035,H5,26.6,1988,-76.70119,159.31068
2220,Allan Hills 88036,H3.4,26.4,1988,-76.68219,159.31165
2221,Allan Hills 88037,H5,25.2,1988,-76.7248,159.35382
2222,Allan Hills 88038,H5,25.2,1988,-76.723,158.74015
2223,Allan Hills 88039,H5,24.9,1988,-76.69471,159.28726
2224,Allan Hills 88040,H5,24.6,1988,-76.72481,158.70501
2225,Allan Hills 88041,L5,23.5,1988,-76.68127,159.34557
2226,Allan Hills 88042,H5,22.6,1988,-76.69471,159.28726
2227,Allan Hills 88043,H6,21.1,1988,-76.72216,158.73966
2228,Allan Hills 88044,L3.4,21,1988,-76.68656,159.34901
2229,Allan Hills 88045,CM1,18,1988,-76.70495,159.09493
2230,Allan Hills 88046,EH3,20.7,1988,-76.71162,159.15043
2231,Allan Hills 88047,H5,20.6,1988,-76.70061,159.30934
2232,Allan Hills 88048,H6,20.6,1988,-76.68947,159.3436
2233,Allan Hills 88049,H5/6,20.1,1988,-76.7003,159.30852
2234,Allan Hills 88050,H6,49.6,1988,-76.68948,159.33485
2235,Allan Hills 88051,H5,19.3,1988,-76.69005,159.38471
2236,Allan Hills 88052,CM2,7,1988,-76.70593,159.15664
2237,Allan Hills 88053,H4,18.2,1988,-76.72056,159.40262
2238,Allan Hills 88054,H5,17.8,1988,-76.71543,159.36496
2239,Allan Hills 88055,H5,17.5,1988,-76.69458,159.28725
2240,Allan Hills 88056,H5,17.3,1988,-76.72006,159.40151
2241,Allan Hills 88057,H5,16.6,1988,-76.69458,159.28725
2242,Allan Hills 88058,H6,15.1,1988,-76.69255,159.30145
2243,Allan Hills 88059,L/LL3,15,1988,-76.68156,159.31
2244,Allan Hills 88060,H6,14.6,1988,-76.73086,158.70316
2245,Allan Hills 88061,H5/6,13.9,1988,-76.68252,159.34506
2246,Allan Hills 88062,L5,13.8,1988,-76.70534,159.36925
2247,Allan Hills 88063,H5/6,13.4,1988,-76.69154,159.29707
2248,Allan Hills 88064,H5/6,13.2,1988,-76.69016,159.38525
2249,Allan Hills 88065,H5,13.8,1988,-76.72146,158.71186
2250,Allan Hills 88066,L/LL3,13.9,1988,-76.68219,159.31165
